============    FORTRESS SEED [123394]    =========
Fortress initialized! - <0>
>>> CONFIG FILE: beta_config.yaml <<< -- <0>
15 Unique character trees created -- <0>
[<.7c87] cloned to [<.9532] at [12, 4] -- <25>
[<.9cb6] added [<.9532] at [12, 4] -- <25>
[<.7c87] cloned to [<.4dbf] at [12, 4] -- <25>
[<.f9d5] added [<.4dbf] at [12, 4] -- <25>
[<.7c87] cloned to [<.51ea] at [10, 4] -- <25>
[<.ba70] added [<.51ea] at [10, 4] -- <25>
[<.7c87] cloned to [<.a486] at [8, 2] -- <25>
[<.b097] added [<.a486] at [8, 2] -- <25>
[<.7c87] cloned to [<.c814] at [9, 5] -- <25>
[<.e027] added [<.c814] at [9, 5] -- <25>
[<.7c87] cloned to [<.debe] at [12, 2] -- <25>
[<.1ea3] added [<.debe] at [12, 2] -- <25>
[<.7c87] cloned to [<.3668] at [12, 1] -- <25>
[<. 39b] added [<.3668] at [12, 1] -- <25>
[<.7c87] cloned to [<.97b1] at [10, 4] -- <25>
[<.ff4e] added [<.97b1] at [10, 4] -- <25>
[<.7c87] cloned to [<.1acc] at [6, 6] -- <25>
[<. b5e] added [<.1acc] at [6, 6] -- <25>
[<.8848] moved to [10, 5] -- <25>
[<.2f7c] moved to [12, 4] -- <25>
[<.7990] moved to [8, 6] -- <25>
[<.bcf6] moved to [10, 3] -- <25>
[<.26ac] moved to [11, 6] -- <25>
[<.a5d7] moved to [12, 4] -- <25>
[<.8e15] moved to [10, 4] -- <25>
[<.ddc0] moved to [8, 6] -- <25>
[<.fee1] moved to [8, 4] -- <25>
[<.9782] moved to [12, 5] -- <25>
[<.61b8] moved to [9, 6] -- <25>
[<.d2c0] moved to [12, 3] -- <25>
[<.5bfa] moved to [9, 4] -- <25>
[<.2de6] moved to [8, 3] -- <25>
[<.5b31] moved to [13, 5] -- <25>
[<.6983] moved to [10, 4] -- <25>
[<.c84d] moved to [10, 4] -- <25>
[<.dcb4] moved to [8, 4] -- <25>
[<.93e4] moved to [12, 2] -- <25>
[<. d36] moved to [12, 5] -- <25>
[<.7ceb] moved to [10, 3] -- <25>
[<.c366] moved to [7, 4] -- <25>
[<.e08c] moved to [7, 2] -- <25>
[<.7562] moved to [11, 2] -- <25>
[<. 454] moved to [11, 3] -- <25>
[<.7c87] cloned to [<.ffc7] at [10, 4] -- <26>
[<.9cb6] added [<.ffc7] at [10, 4] -- <26>
[<.7c87] cloned to [<.b32f] at [12, 4] -- <26>
[<.f9d5] added [<.b32f] at [12, 4] -- <26>
[<.7c87] cloned to [<.9c1e] at [10, 4] -- <26>
[<.ba70] added [<.9c1e] at [10, 4] -- <26>
[<.7c87] cloned to [<.b697] at [9, 3] -- <26>
[<.b097] added [<.b697] at [9, 3] -- <26>
[<.7c87] cloned to [<.5e47] at [10, 6] -- <26>
[<.e027] added [<.5e47] at [10, 6] -- <26>
[<.7c87] cloned to [<.5446] at [13, 3] -- <26>
[<.1ea3] added [<.5446] at [13, 3] -- <26>
[<.7c87] cloned to [<.8763] at [11, 2] -- <26>
[<. 39b] added [<.8763] at [11, 2] -- <26>
[<.7c87] cloned to [<.f3a7] at [9, 3] -- <26>
[<.ff4e] added [<.f3a7] at [9, 3] -- <26>
[<.7c87] cloned to [<.f58f] at [5, 5] -- <26>
[<. b5e] added [<.f58f] at [5, 5] -- <26>
[<.7c87] cloned to [<.64f0] at [9, 5] -- <26>
[<.8848] added [<.64f0] at [9, 5] -- <26>
[<.2f7c] moved to [12, 3] -- <26>
[<.bcf6] moved to [10, 4] -- <26>
[<. 339] moved to [11, 6] -- <26>
[<.a5d7] moved to [12, 5] -- <26>
[<.8e15] moved to [10, 3] -- <26>
[<.ddc0] moved to [9, 6] -- <26>
[<.fee1] moved to [7, 4] -- <26>
[<.9782] moved to [13, 5] -- <26>
[<.61b8] moved to [8, 6] -- <26>
